event id,p_spot,p_track,p_worm,x_coord,y_coord,width,length,azwidth
1,2.5132769224001095e-05,0.9940052628517151,0.00594642199575901,1447,706,1.3941248679527616,421.2174378820328,27.334492286568832
12,0.5756023526191711,0.33624979853630066,0.08336924016475677,1113,1174,0.945168361338548,19.886121838859083,7.587001732759564
15,6.478335876636265e-07,0.9977612495422363,0.0022376193664968014,968,1079,1.373658779249309,149.0799622256273,10.3762992192433
18,2.5956183890230022e-05,0.9971178770065308,0.0028069450054317713,450,1387,2.441027355333271,774.5467378355645,1297.6185297388397
25,5.7883305998984724e-05,0.5993697643280029,0.40053674578666687,1084,993,17.382446176768557,108.58203534686244,11738.006379095079
28,2.3574131773784757e-05,0.9329675436019897,0.06700294464826584,1303,962,4.066333854631734,207.75862948649194,3643.671119586538
31,1.6806308849481866e-05,0.9737703800201416,0.026201818138360977,1791,694,6.431509623413904,290.1238792178449,24071.60383391385
56,3.590042979340069e-05,0.9778835773468018,0.022078797221183777,1226,1032,7.229340211858943,52.794834093953384,431.446840883893
61,0.00014324193762149662,0.9890346527099609,0.010795962996780872,725,1687,39.61536509110582,533.6841457234266,6626.614926225647
64,2.964314944620128e-07,0.9974603652954102,0.0025326614268124104,1502,872,13.526127409504918,407.5640661106649,122677.82494970965
76,7.956846820889041e-05,0.975009560585022,0.024783166125416756,1356,1248,10.722890390300126,126.7107746553456,5641.375476516452
78,1.2223156318214023e-06,0.9983722567558289,0.0016096314648166299,941,1605,0.8728958593307383,20.758343360283007,50.80632616637846
