event_id,p_spot,p_track,p_worm,x_coord,y_coord,width,length,azwidth
130744831,0.999994636,5.75E-08,2.23E-07,1099,1506,79.38720048,442.4628479,195701.9233
130744867,0.999991775,2.08E-08,4.74E-08,1099,1506,46.94854981,434.3829955,188533.625
130745826,0.998529196,6.97E-06,3.91E-05,1099,1506,40.69958185,446.2687293,199069.1021
130746004,0.99999547,1.84E-08,3.02E-08,1099,1506,141.3381619,460.6324473,212107.3734
130746088,0.999985337,2.13E-07,3.35E-07,1099,1506,40.28018868,446.8989442,199635.0012
130746502,0.999999881,1.56E-08,1.55E-08,1099,1506,31.41332416,455.1839626,207161.0602
130746746,0.999979615,6.60E-08,2.15E-07,1099,1506,67.93543415,442.8355934,196012.8207
130747272,0.999992967,2.74E-08,7.37E-08,1099,1506,32.42440752,458.6764956,210349.2954
130747365,0.999998927,1.79E-08,8.84E-08,1099,1506,29.31024574,459.6035641,211211.8006
130747594,0.999961495,2.65E-07,7.16E-07,1099,1506,0.730639695,474.6628707,225304.8157
130747624,0.99980551,6.30E-08,4.57E-07,185,1243,0.471944519,0.524439926,0.275025063
130747715,0.999988914,9.02E-08,1.30E-07,1099,1506,261.178429,457.1318928,207153.791
130747851,0.999998331,6.96E-09,2.36E-08,1099,1506,30.71890464,453.7859606,205892.7943
130747868,0.999972701,9.13E-08,1.95E-07,1099,1506,240.8377251,487.4552729,231734.3187
130747986,0.999996185,1.21E-08,5.11E-08,1099,1506,41.60752001,443.3928123,196501.984
130748064,0.999999285,1.45E-08,4.78E-08,1099,1506,46.26550953,435.8988149,189861.9125
130748341,0.999995351,3.64E-08,5.80E-08,1099,1506,314.9958873,548.1786966,268156.1294
130748427,0.999867082,1.10E-07,4.24E-07,1099,1506,41.88206667,442.5507208,195754.0082
130748480,0.999999881,4.60E-09,9.88E-09,1099,1506,45.1241103,438.6158461,192253.3585
130748500,0.999998093,8.06E-09,2.14E-08,1099,1506,256.853764,476.8617841,224609.3003
130748530,0.999990582,4.35E-08,9.86E-08,1099,1506,29.41591968,455.9837642,207897.0997
130748818,0.99998343,9.29E-08,1.47E-07,1099,1506,31.09704755,451.9058891,204188.6023
130748925,0.999845743,5.16E-08,2.12E-07,185,1243,0.474173982,0.522603456,0.273110722
130749398,0.999985099,6.51E-08,1.40E-07,1099,1506,40.9865719,442.2244001,195473.4015
130749741,0.999986172,3.87E-08,1.40E-07,1099,1506,45.64377677,437.3217316,191113.433
