event_id,p_spot,p_track,p_worm,x_coord,y_coord,width,length,azwidth
225098252,1.00E-05,0.991704702,0.008207943,296,2228,0.637185437,4.010127603,16.05876657
225105023,2.47E-07,0.993771255,0.006225979,693,1242,0.679424567,8.100969945,62.33651636
225123690,0.005005622,0.920551062,0.074204989,1887,1704,0.769216307,2.549338568,6.18181733
225128801,0.00936598,0.909583092,0.079479665,3176,830,0.41788325,2.121971481,4.501362825
225141686,0.00058438,0.913660765,0.084948242,2901,140,0.595397197,15.08267021,227.474412
227211250,7.67E-06,0.981250584,0.018683396,3209,1610,12.12261511,208.6806905,37954.73273
228979158,9.71E-06,0.885798156,0.114090942,1324,1734,0.66843913,8.692928292,63.73027418
229468081,8.31E-05,0.878763974,0.121082529,943,2263,0.821491192,5.063154913,25.29039537
229838528,0.001212443,0.855551124,0.135401696,1936,190,4.474878079,8.856910469,76.46714285
231237155,1.26E-05,0.96365124,0.036166381,1685,1275,1.120759376,21.28457168,453.0161948
235040358,3.99E-06,0.979104817,0.020871418,296,388,0.565099784,4.614476478,21.26630746
235172357,4.07E-05,0.949412823,0.049870767,276,580,0.628266738,4.146746482,16.62170454
235199997,3.37E-05,0.850722075,0.149223,2514,152,0.9379526,5.080577031,3.246745662
235206337,0.000313655,0.800112486,0.199383765,2614,2165,0.842446114,29.38150218,862.0670187
235215474,2.82E-05,0.990789235,0.009172945,3163,1045,0.676062851,6.122575626,32.42535844
235233157,8.99E-05,0.980901837,0.018975649,2258,342,0.885624154,31.8704119,1013.856341
235312026,3.26E-06,0.993371844,0.006617604,3002,2130,0.680525593,2.993302741,8.842574144
235365492,0.000190156,0.970718682,0.028991148,2550,662,1.162431487,750.4612924,563182.7841
235401230,2.45E-06,0.897425711,0.102559604,1937,950,0.908552165,10.91718592,119.1783038
235599095,3.77E-06,0.996281803,0.003705077,2626,930,0.497506824,3.119473896,2.056806931
235619573,0.00019385,0.874680698,0.125109777,1025,76,0.54522079,12.42436915,153.6603318
235837615,1.54E-05,0.972353578,0.027606674,1379,1847,0.683637096,4.225520766,17.6675044
236934661,2.69E-05,0.983169675,0.016760003,457,906,0.245252411,4.774323094,22.79407717
236934747,0.001284637,0.885594487,0.112757154,397,1078,1.255799735,25.32632931,641.0385654
236944597,6.94E-05,0.949838519,0.050068669,2952,2329,0.658435609,3.651730039,11.37659993
236944795,2.11E-06,0.975335479,0.024654321,1154,81,0.71394959,5.603301331,31.2836764
236945404,5.81E-06,0.976709902,0.022932379,67,1993,0.599454814,12.13412045,142.7660216
236952381,1.43E-05,0.966384649,0.033496238,1640,533,0.539538183,3.91601938,15.23270912
236954031,0.000200655,0.966584146,0.03319516,83,1395,3.122474726,77.25576475,5291.844377
236955375,9.18E-07,0.997548401,0.002449771,409,1111,0.427384218,6.188084462,38.28892737
236956997,9.19E-07,0.998356283,0.001642014,1988,1160,95.31054381,246.7573598,54667.79181
236959121,2.00E-05,0.975487351,0.024491845,818,1043,0.68021925,10.98617039,120.6254141
