event_id,p_spot,p_track,p_worm,x_coord,y_coord,width,length,azwidth
450981359,0.999993682,5.16E-07,4.88E-06,2301,539,90.85278703,823.1018426,677108.6549
450981080,0.999999762,7.41E-08,1.16E-07,2300,539,60.68961689,823.0359567,677290.0915
219879012,0.999990821,1.93E-06,2.73E-06,2519,175,38.10750536,822.9434591,677158.7665
299403207,0.851438522,1.20E-06,5.64E-05,3038,665,199.3090671,822.8624131,654771.2236
219878491,0.999998569,2.01E-07,3.06E-07,2535,1278,441.2811046,822.7093411,503206.5897
428251303,0.999999046,1.93E-07,5.56E-07,2832,2328,460.1265497,822.5491163,635441.7373
348546015,0.978423178,1.08E-08,2.55E-06,1843,2903,505.6545292,822.4129661,579525.7282
235213048,0.99862051,4.07E-06,7.18E-06,950,2073,228.548705,821.9791714,660887.4399
193385281,0.999999642,2.42E-08,3.05E-08,549,2346,200.4121697,821.3681742,644896.7849
428243055,0.999998808,3.18E-07,7.50E-07,2832,2328,251.656256,821.2598112,624030.4096
450981393,0.999999762,6.30E-08,1.11E-07,2300,539,81.80819735,821.2042822,674195.5799
347764706,0.99993825,6.58E-07,1.25E-06,2499,1074,0.668344309,821.1044035,674212.4049
347764710,0.99993825,6.58E-07,1.25E-06,2499,1074,0.668344309,821.1044035,674212.4049
249849837,0.956457317,0.000241882,0.042123832,2174,1205,387.5176138,820.7510194,599001.2322
349424809,0.99957329,1.75E-07,1.03E-06,2499,1074,152.5613592,820.6454766,652663.514
348452846,0.993679106,1.46E-07,9.79E-06,452,2742,138.021273,820.1095044,659624.9093
428245587,0.999999046,2.13E-07,5.94E-07,2832,2328,268.3185283,819.7134401,600967.688
349190915,0.998753309,4.34E-07,1.78E-06,2499,1074,225.8380151,819.666698,583905.1239
450981227,0.999999523,8.95E-08,2.34E-07,2300,539,108.5138617,819.6296234,671331.3665
85101229,0.999999404,6.90E-09,1.63E-08,1099,1506,0.547308447,819.4501394,671498.3413
