,event id,width,length,azwidth,p_spot,p_track,p_worm
0,1,0.5940698414298569,0.6294516525305485,0.3849514888028572,0.9999984502792358,5.501472628566261e-07,9.419708817404171e-07
1,2,0.6661727887305335,0.7471033786942023,0.4965674703209016,0.9999977350234984,9.410561574441092e-07,1.3628932720166629e-06
2,3,0.8364447007164786,1.0461586918776151,1.0385416859451255,0.9997225403785706,4.7214536607498296e-05,0.00022808053472545
3,4,0.7537916990239594,0.7851108638847676,0.6152575520383627,0.9999972581863404,9.614191185391974e-07,1.8320582739761448e-06
4,5,0.6333498606162353,0.6802802738666627,0.445565258943025,0.9999997615814208,1.6148165116192104e-07,1.6639040723021026e-07
5,6,0.53935291191389,0.5634988646345008,0.30460534927201194,0.9999986886978148,5.016955810788204e-07,8.56963936257671e-07
6,7,0.647083485789277,0.6865078313022865,0.4644551313671523,0.9999994039535522,2.1849251652383828e-07,3.861378559122386e-07
7,8,0.6621533553918378,0.7561155726819693,0.4436578275840796,0.9999977350234984,1.0342647556171869e-06,1.2493748045017128e-06
8,9,0.7684157227892573,0.8266625948023578,0.6242116933838421,0.9999966621398926,1.2273087577341357e-06,2.1063856365799442e-06
9,10,0.5637189079981431,0.6324571303325763,0.33174497553790416,0.9999997615814208,9.168625325628453e-08,1.1966561430654108e-07
10,11,0.5877068490031613,0.6666755870113972,0.38872906285408376,0.9999997615814208,6.108658112680132e-08,7.061288442855582e-08
11,12,0.6238245536885226,0.6537973824765053,0.3982275567822521,0.999998927116394,3.8701693938492094e-07,6.65080108319671e-07
12,13,0.688144198939829,0.7424123844059989,0.5298094747815437,0.9999946355819702,2.3194779714685865e-06,3.0978546874393938e-06
13,14,0.7434236206138504,0.8460165786076144,0.7150387446103508,0.9999862909317015,5.574650913331425e-06,8.061106200329961e-06
14,15,0.665635171783557,0.6959677948933303,0.4514730133680422,0.9999996423721312,1.6551109638385242e-07,2.572380708443234e-07
15,16,0.7669197471123947,1.4088724383874551,0.6104179098484322,0.9745314717292786,0.00836851354688406,0.016711769625544548
16,17,0.5832823480703084,0.6419089188310255,0.3873261062489259,1.0,3.278685412055893e-08,3.748406385284397e-08
17,18,0.6822725984886758,0.6984557717753033,0.4654998056706166,0.9999979734420776,6.64192725707835e-07,1.3406024663709104e-06
18,19,0.6720677654002508,0.7859055662221917,0.608696992074837,0.9999996423721312,1.6331938468283624e-07,2.1802839000883975e-07
19,20,0.6721904015933918,0.7038281892940518,0.4584731813761351,0.9999995231628418,1.8539967072683802e-07,2.895030490890349e-07
20,21,0.6615241753308028,0.7404077207661114,0.5371737960011673,0.9999994039535522,1.841838326299694e-07,3.4275362281732674e-07
21,22,0.4873059219326256,0.5029690710320436,0.2529630241375048,0.9999997615814208,8.634493298131929e-08,1.1837099123113148e-07
22,23,0.6752615162542623,0.6853170561489409,0.4644215813677038,0.9999996423721312,1.321229206041607e-07,2.2811380517850924e-07
23,24,0.5996257177396033,0.6935575733947026,0.4414908065234442,0.9999992847442628,3.2277611694553343e-07,3.192469364421413e-07
24,25,0.8146927296409627,0.8244992785007774,0.6637475977853031,0.9999911785125732,3.4404786219965895e-06,5.339918971003499e-06
25,26,0.5636299937118637,0.5875133441683306,0.32048592168597073,0.9999995231628418,2.0431788527730527e-07,2.0541374112781336e-07
26,27,0.5801390049994161,0.6575997682574098,0.3595248622029016,0.9999997615814208,1.1376420872011295e-07,1.7329838897239824e-07
27,28,0.5800383217685059,0.6672731407625665,0.4270870804541459,0.9999996423721312,1.3439156987260506e-07,1.8143958868677143e-07
28,29,0.6040308013017889,0.6847534713252816,0.4687871949670802,0.9999997615814208,1.3591014180747152e-07,1.7643887417762014e-07
29,30,0.6686848266882324,0.6766991696073066,0.4500129861054433,0.9999996423721312,1.568720051636774e-07,2.3508371782554607e-07
30,31,0.4768367037692546,0.6635712514689303,0.3596536928684389,0.9999997615814208,7.089195719345298e-08,8.536226658861777e-08
31,32,0.5998733752195902,0.6726012207520918,0.3599542843148191,1.0,3.224629452347472e-08,4.2488782270311276e-08
