sample,p_spot,p_track,p_worm,width,length,azwidth,x_coord,y_coord
100MeV_theta_72.5_phi_10.0_highstats,-0.025566741990409543,0.6898394855713748,0.18382934843014673,1.1791505085912406,27.114548210941663,509.5864616910474,1397.1975308641975,980.0864197530864
1GeV_theta_53.1_phi_40.0_highstats,0.044179361107733114,0.8143341012392193,0.11850388423888944,0.9684233907955924,12.780504041841711,116.15413686179681,1281.41,983.59
316MeV_theta_53.1_phi_90.0_highstats,0.1959738227676871,0.3036957931457437,0.3953645172622055,1.0109674708093064,11.089097831279892,64.37880357506592,1288.25,981.04
31.6MeV_theta_60.0_phi_20.0_highstats,-0.03595400638454421,0.7344146017709042,0.14767338829085183,1.4753445881703262,29.912137987413445,3775.792471959608,1329.6923076923076,1030.2179487179487
31.6MeV_theta_53.1_phi_0.0_highstats,-0.014209379411734177,0.7575606602522197,0.17399671935049107,1.0420776750100085,20.292739163644576,4837.355751775733,1297.1958762886597,972.9278350515464
31.6MeV_theta_25.8_phi_10.0_highstats,0.0039478555391392065,0.7193017682058247,0.27664213166854373,1.8871370333110338,14.543833082014707,4743.785952820539,1283.8686868686868,967.3737373737374
316MeV_theta_36.9_phi_40.0_highstats,0.005268947103413702,0.8585516083380207,0.12836983720306308,1.0401491133821918,15.774958633445976,4237.090614337758,1308.9,972.48
10MeV_theta_25.8_phi_90.0_highstats,0.07574986346420817,0.5907644375787761,0.3333332083762589,1.3319416080307676,36.86572153920707,7121.652361360672,1362.4646464646464,955.2828282828283
31.6MeV_theta_36.9_phi_90.0_highstats,-0.009515639711443348,0.5471726749208756,0.4218230383656919,1.160539941236115,15.349289093837934,2918.059710190717,1294.92,939.27
31.6MeV_theta_45.6_phi_40.0_highstats,4.3775872441207575e-05,0.9389514134702633,0.0606287993194906,0.9647863429277346,8.324008652553097,10.101484863059273,1298.469387755102,990.7857142857143
31.6MeV_theta_72.5_phi_40.0_highstats,-0.05881867404347553,0.8387555900742026,-0.015231410644071944,1.870373435153717,28.000493711251536,318.1903065343011,1640.5294117647059,669.7647058823529
1GeV_theta_66.4_phi_30.0_highstats,0.0344387053026118,0.7316691271010495,0.21214705894584768,2.0268291871257516,26.74766351378754,424.9921704080974,1276.1,985.67
10GeV_theta_25.8_phi_10.0_highstats,0.03547071375159703,0.6452634640959878,0.3152713614329696,0.9318071045526434,3.8660019741898886,7.751400686126187,1292.37,971.38
1MeV_theta_84.3_phi_20.0_highstats,-0.020861151256225265,0.23218332220654733,0.04805329096881866,2.7702150186342287,16.714660441527762,236.5355234274235,1558.4347826086957,906.8260869565217
100MeV_theta_53.1_phi_90.0_highstats,0.11326829658493595,0.4768462131097395,0.33287560568376906,1.134829602404227,10.558834204369758,45.20971902811921,1321.828282828283,972.6565656565657
3.16GeV_theta_72.5_phi_10.0_highstats,0.07451917491527667,0.7576076987667694,0.16202937121273864,1.3723820299637814,30.94851335967532,789.9215680088528,1266.98,973.63
1GeV_theta_60.0_phi_40.0_highstats,0.021744036383824366,0.8396628274396062,0.12198440923937597,0.9171466188072556,13.481685755079154,10.112641797215561,1284.15,985.55
10GeV_theta_53.1_phi_90.0_highstats,0.14411928909841662,0.4243594038207084,0.33213436520425604,1.0510272548053978,19.518919096278406,4477.743695963561,1295.75,980.12
