sample,p_spot,p_track,p_worm,width,length,azwidth,x_coord,y_coord
100MeV_theta_72.5_phi_10.0_highstats,-0.4280331939639187,0.09264335462025233,-0.3792466977611184,1.5670165881233673,114.7787091497047,4152.535878836219,990.8571428571429,828.0
316MeV_theta_53.1_phi_90.0_highstats,0.26152411522343755,0.47156846756115556,0.2569533312926069,19.72324650286353,376.5418185962836,95626.60982441455,1369.25,765.75
31.6MeV_theta_60.0_phi_20.0_highstats,0.00011619122233241796,0.898880124092102,0.10074454545974731,0.8902925279695284,12.657436789474982,21.10704703945328,1449.0,1494.0
31.6MeV_theta_53.1_phi_0.0_highstats,0.000488530353322858,0.9764575660228729,0.022785593755543232,4.665843020154907,93.76167122159141,298.8283699730725,1795.0,1035.5
1MeV_theta_60.0_phi_90.0_highstats,0.00010143120016437024,0.008740215562283993,0.9911511540412903,4.6613428014930305,14.385957331645272,63.47165292474496,1345.0,1074.0
31.6MeV_theta_25.8_phi_10.0_highstats,0.0007582564139738679,0.03588028624653816,0.9633541703224182,1.4508522650748112,4.8127690950425235,12.690863509911248,1229.0,913.0
100keV_theta_53.1_phi_80.0_highstats,0.9998446702957153,8.980961138149723e-05,6.528089579660445e-05,0.3723592139691573,0.7645547339720522,0.3196419854728163,1294.0,992.0
316MeV_theta_36.9_phi_40.0_highstats,4.809042820852483e-06,0.9861162304878235,0.01380036398768425,0.896432199743711,6.315611353678478,2.934764982223819,1296.0,974.0
31.6MeV_theta_36.9_phi_90.0_highstats,0.0034052547882311044,0.4954033826244995,0.49884361028671265,1.5313007535173142,132.15644313665058,8745.699456369517,1220.2,899.4
31.6MeV_theta_45.6_phi_40.0_highstats,0.06951022853609175,0.7001614511013031,0.22985234707593918,3.0695843027738237,104.02330314624314,7765.123402281793,1148.6,1091.4
31.6MeV_theta_72.5_phi_40.0_highstats,0.00015599273592670215,0.9850758612155914,0.01472532469779253,0.9227236732951294,20.94889945602687,96.49790506986871,2063.0,780.0
1GeV_theta_66.4_phi_30.0_highstats,0.018578851142895775,0.7400910382469496,0.23543839498112598,3.346881633431592,90.67900973915386,2320.5289910783736,1324.6666666666667,951.8333333333334
100MeV_theta_53.1_phi_90.0_highstats,0.8621770143508911,0.09359172731637955,0.04174302890896797,5.50626476910779,94.70764165230075,7512.489903184685,1303.0,1024.0
3.16GeV_theta_72.5_phi_10.0_highstats,0.002029845101352142,0.7510556653141975,0.23799985204823315,9.52214865844058,83.39208144721222,1488.9412323234455,1220.8333333333333,982.0
1GeV_theta_60.0_phi_40.0_highstats,0.00021160809993638063,0.7418254435145741,0.25775801911950114,6.8227916073842625,56.765998753067834,1577.7562976989836,1332.4,988.8
31.6keV_theta_25.8_phi_90.0_highstats,0.9917307198047638,0.005012666515540332,0.0032105296850204468,1.0349599546188908,6.7942799587113125,29.115859202837484,1293.0,978.0
10GeV_theta_53.1_phi_90.0_highstats,0.06442477700738891,0.12376250295589368,0.804970920085907,1.7337881715048613,12.492268416499579,73.6196357947944,1290.6666666666667,968.3333333333334
1MeV_theta_53.1_phi_60.0_highstats,8.746000821702182e-05,0.8907324075698853,0.10203701257705688,0.9071659691828848,5.578224463194884,8.087034015361,1223.0,1060.0
31.6keV_theta_84.3_phi_50.0_highstats,0.9294206023216247,0.04356042523294405,0.026404052591887252,0.6629351000677736,2.924649491211106,0.6318298304633571,1242.2,1036.6
1GeV_theta_53.1_phi_90.0_highstats,0.030472397712098125,0.28126508245865506,0.5626429120699564,2.234180643367703,16.905733525280496,157.86919148636306,1295.6666666666667,973.6666666666666
3.16GeV_theta_0.0_phi_0.0_highstats,0.6015097953301544,0.04204618309934934,0.35593898346026737,0.9616377269980904,2.6912538650799345,4.226089298362189,1294.6666666666667,970.0
100keV_theta_84.3_phi_80.0_highstats,0.9980785846710205,0.000589125556871295,0.0013243226567283273,1.3479324149887606,95.87267138110431,143.2937876505487,1293.0,992.0
3.16MeV_theta_66.4_phi_0.0_highstats,0.0013546576956287026,0.07525883615016937,0.13956400752067566,4.990042096956849,11.53082728377368,125.01864566130982,2114.0,215.0
31.6keV_theta_25.8_phi_30.0_highstats,0.627112865447998,0.2209083835890245,0.1510100598752615,0.7536663498779991,1.6399657040429947,1.397978911037683,1290.3333333333333,972.6666666666666
316keV_theta_72.5_phi_70.0_highstats,0.003967264201492071,0.12971027195453644,0.8660337328910828,1.1033438980207069,6.550130896676288,2.307040209879969,1275.0,1029.0
10MeV_theta_53.1_phi_50.0_highstats,7.88165734775248e-05,0.7242275178432465,0.27549755154177547,0.9083136260991691,5.771612021826112,6.7301239647842035,1715.0,602.5
3.16MeV_theta_53.1_phi_70.0_highstats,0.002591941738501191,0.043781839311122894,0.011327951215207577,0.9920664748039965,9.075065093324545,1.0282420966007813,1640.0,659.0
31.6keV_theta_45.6_phi_90.0_highstats,0.9999997615814209,1.260519013612793e-07,9.570099734901305e-08,0.5008759417415033,1.1407922964331452,0.7219979673681778,1297.0,978.0
316MeV_theta_72.5_phi_0.0_highstats,0.012296756909927353,0.850570997595787,0.1362119304947555,6.728854253700729,246.08475820769982,45952.72085526983,1325.5,842.9
