sample,p_spot,p_track,p_worm,width,length,azwidth,x_coord,y_coord
100MeV_theta_72.5_phi_10.0_highstats,0.034713155808837,0.6789061820471584,0.09805275431731282,0.9672495906644555,23.66595656956851,286.43430537928634,1377.3720930232557,912.8604651162791
1GeV_theta_53.1_phi_40.0_highstats,0.019326618214310257,0.8749235118716023,0.10421306945383549,1.1363364888165095,26.841089983037623,5254.195783081847,1296.12,982.22
316MeV_theta_53.1_phi_90.0_highstats,0.14787857773224458,0.39246386193088256,0.3677687257132493,1.252495933416506,17.747613004908136,1111.4554015133199,1288.89,984.98
31.6MeV_theta_60.0_phi_20.0_highstats,0.009366173244238187,0.6712780712348277,0.13143098780014756,0.9415229770148202,12.624534599450504,50.27153942801672,1341.7391304347825,997.5869565217391
31.6MeV_theta_53.1_phi_0.0_highstats,0.08226717361753438,0.7020252613528144,0.20301328953872952,1.0397919197857897,15.861438870906827,2282.781527454654,1290.968253968254,967.7619047619048
31.6MeV_theta_25.8_phi_10.0_highstats,0.035525678871589646,0.6419591491956416,0.3205470224196205,0.9644506759300893,13.505538592194473,421.552509481314,1246.469387755102,934.9591836734694
316MeV_theta_36.9_phi_40.0_highstats,0.00216198281169909,0.8186715233325959,0.17497492513386534,0.9811491572442338,13.608654339456505,3196.673713838361,1291.83,989.85
10MeV_theta_25.8_phi_90.0_highstats,0.1246161876948611,0.3898684030945608,0.3390076399623785,0.9090619448987606,4.219052570038572,9.321283622709513,1360.0813953488373,990.6511627906976
31.6MeV_theta_36.9_phi_90.0_highstats,0.05211351529970156,0.4696660328165256,0.4351901253633257,1.0298613786996114,8.764541896175684,248.95603841262763,1287.7065217391305,933.6304347826087
31.6MeV_theta_45.6_phi_40.0_highstats,0.005780342972786912,0.7673408030739262,0.10634659424993313,0.9397537341250944,16.12941683097952,1376.037646844207,1321.3444444444444,945.3666666666667
31.6MeV_theta_72.5_phi_40.0_highstats,0.012049179743704563,0.2732178981477773,0.04765320452618956,15.664965509839845,36.310435769789265,1653.8174737919414,786.0,850.6666666666666
1GeV_theta_66.4_phi_30.0_highstats,0.03810943731338789,0.7807612848571444,0.16010401066974736,1.0696221855376498,21.589023920443445,279.2145687677173,1273.15,979.7
10GeV_theta_25.8_phi_10.0_highstats,0.02758127397136377,0.632067933047515,0.33869945598035656,1.5692718468902493,7.428316605242428,633.6625470083462,1291.86,974.93
1MeV_theta_84.3_phi_20.0_highstats,-0.006872197003758629,0.29976869469813217,0.26254025842409234,5.041082012031035,91.90116543020234,21063.40997354988,1705.84375,782.28125
10MeV_theta_45.6_phi_40.0_highstats,-0.03397229714413554,0.7447246356556813,0.12653551842258484,0.9106155359563668,8.008042262956153,15.036440461048166,1330.888888888889,908.6296296296297
100MeV_theta_53.1_phi_90.0_highstats,0.1272329685318225,0.40712936881762435,0.35863931159858986,2.384891086575433,22.396003485411224,2437.3700236977775,1296.2857142857142,1063.5408163265306
3.16GeV_theta_72.5_phi_10.0_highstats,0.028428370143369647,0.8023568394826726,0.16058840438723565,1.4474405385601328,28.875656934379567,408.94854155281405,1267.53,978.11
1GeV_theta_60.0_phi_40.0_highstats,0.0431772711596453,0.8390329232300427,0.11397134134895168,1.1577056873221239,15.513318071568804,14.302785051665621,1292.65,974.1
10GeV_theta_53.1_phi_90.0_highstats,0.12141243768783948,0.43327683615119894,0.37779739798046647,1.155901097841713,19.070363668459294,987.3664560457789,1304.19,979.89
1GeV_theta_53.1_phi_90.0_highstats,0.12689659023710434,0.4039065238053445,0.329149631774053,1.4833378453627677,29.171453628635255,5236.680766445427,1281.54,975.38
10MeV_theta_53.1_phi_80.0_highstats,0.12360891235439339,0.11805442832410336,0.6044759549200535,1.1873616022176943,10.887663874094708,80.78922567691575,1513.9,756.2
1GeV_theta_25.8_phi_20.0_highstats,0.0348827736698172,0.6756397174265658,0.28876852908297224,0.9656571152466283,4.259999386166042,6.257284062105216,1292.5,972.94
3.16GeV_theta_0.0_phi_0.0_highstats,0.9694280102017281,0.0010916696618125598,0.029474805889396726,0.9211598577549975,7.8165120622714515,22.695584462531873,1295.31,971.01
