event id,p_spot,p_track,p_worm,x_coord,y_coord,width,length,azwidth
1,0.16003306210041046,0.6362473964691162,0.1894885152578354,1328,821,0.9100912240159562,20.30934831621254,108.59473039819947
2,0.029057912528514862,0.1253724992275238,0.06198353320360184,1316,899,0.9297771772511092,17.45291546146485,95.17158402336159
3,0.001663701725192368,0.9459565877914429,0.04530631750822067,1260,836,0.8946840398315535,21.037914393816912,125.85758852969099
4,0.638339102268219,0.26432275772094727,0.07103529572486877,1361,962,0.9289637654928717,18.716706179508147,114.04073399291747
5,0.12772804498672485,0.1629338413476944,0.33582812547683716,1206,899,0.9271474961098336,17.833315582596008,115.96877083897098
6,7.959190251316528e-11,1.1118566334289426e-07,0.9999996423721313,1269,1011,4.129096076740354,17.168952282018825,156.4230983129443
7,0.038606103509664536,0.01978496089577675,0.060447584837675095,1401,989,0.9217355052293144,16.55689242416943,95.39601791732468
8,0.1701912134885788,0.5960186719894409,0.15942250192165375,1316,1088,0.8845635419212646,18.50663012646419,136.79607594270996
9,0.0015117147704586387,0.8524812459945679,0.11044680327177048,1325,1043,0.8687272789811717,18.4442040930356,128.38002130825424
10,0.22573423385620117,0.01957581378519535,0.7546083331108093,1301,1239,1.1010770293142556,16.406045637278588,124.98323681683435
11,0.008175930939614773,0.8644984364509583,0.11780422180891037,1208,1088,0.919384614912679,19.95553784563577,169.99138523680335
13,0.013116084039211273,0.2992759644985199,0.2644681930541992,1261,1755,0.9192785145001706,18.707206080018317,228.98532506714403
14,0.0054418607614934444,0.29752975702285767,0.6838168501853943,1329,784,0.8378163413847735,14.396504177298178,53.82744552062257
15,0.0021871174685657024,0.7874764800071716,0.19653281569480896,1323,796,0.9096306750411142,17.30290165874879,78.03103633728115
16,0.003223661333322525,0.15243655443191528,0.8355579376220703,905,815,0.9590983460673812,18.504440138837598,133.95703092410102
17,0.0069734868593513966,0.4874204695224762,0.4942418038845062,1343,997,0.8866059526892919,16.18331366707147,94.21870308792724
18,0.00017127589671872556,0.9837987422943115,0.01472138985991478,1326,387,0.8560792325963882,15.992164416462565,19.693837039884077
19,0.027599172666668892,0.06449538469314575,0.9065163135528564,1387,744,0.9500131006518296,15.170290313434055,54.63729680133589
20,0.00015496712876483798,0.9236221313476562,0.06749486923217773,1135,1053,0.8756157025161938,17.896151647955826,139.4564646475421
21,0.0002214312116848305,0.9307398796081543,0.062414154410362244,1358,961,0.8531862976078961,16.569577235331636,90.99210430044002
22,0.009934121742844582,0.40360522270202637,0.5826412439346313,1300,1239,0.890071687896461,16.799962797493883,134.3263918458104
23,0.0009883639868348837,0.5996478199958801,0.3958708643913269,1342,782,0.8406994840076857,14.58165486509959,55.160181916228964
24,0.025919049978256226,0.41400596499443054,0.5516664981842041,2092,285,0.9198192310323994,13.817082903228162,10.425396946843087
25,0.013183637522161007,0.6379895210266113,0.3451743423938751,1252,1666,0.8284131630861243,24.148625243468178,367.94983805400074
26,0.0009113386040553451,0.8532775044441223,0.1437564194202423,1338,1451,0.8580046489661652,18.906346123733844,193.34440221316854
27,0.007753785699605942,0.377449631690979,0.5219425559043884,1246,932,0.8956515495238085,18.92798892298266,125.68791047139354
28,0.000929409172385931,0.832414984703064,0.14985845983028412,1368,806,0.8767977499828491,17.6154584195847,79.9619071610983
29,0.5903762578964233,0.14747726917266846,0.09280174970626831,1317,1190,0.988540349084849,19.783456708615798,171.24051223876714
30,0.0008844551048241556,0.7918045520782471,0.05638210475444794,1313,1045,0.8996490302030122,17.102659466630815,114.12424596804205
31,0.03691507503390312,0.08968234062194824,0.8709607720375061,1167,1025,0.9356799055195258,16.051852635631832,110.08455104796934
32,0.09840252250432968,0.6769613027572632,0.2181980162858963,1246,1525,0.8090216024858812,21.06915515058998,260.32029490766877
33,0.0024215129669755697,0.7300267815589905,0.2582381069660187,1331,1339,0.8781796754199116,18.87964774047341,177.16342860359944
34,0.6643410921096802,0.05438091978430748,0.26696839928627014,1201,923,0.9500559772518323,17.634286786371025,115.23420998645463
35,0.092416912317276,0.7521688342094421,0.1410239189863205,1255,957,0.9158203422700937,16.72223960305299,97.18136716594069
36,0.0007324881153181195,0.6983144879341125,0.2956695258617401,1421,1232,0.8067227944627308,15.505804328361858,105.87937857368486
37,0.0009381327545270324,0.7652115821838379,0.21503359079360962,1338,988,0.9048138982971865,17.130697083644023,104.87990978167737
38,0.0003739646926987916,0.947627067565918,0.049595337361097336,1325,1214,0.9406501846596624,20.19581519876134,181.95368726247912
39,0.004146895371377468,0.7276778817176819,0.15394623577594757,1444,1517,0.8890705658140821,17.143084117665918,158.3780810620379
40,0.0017792786238715053,0.8944587707519531,0.10152053833007812,1151,933,8.8966721006516,145.7563441606839,19159.158915900116
41,0.0001763788895914331,0.9584352970123291,0.036311760544776917,1234,1515,0.9099071629253356,21.66678053995945,273.80260126587854
42,0.003326462348923087,0.00681640300899744,0.9898489713668823,1408,1045,1.2240231417647878,12.557717298566184,59.77494003950138
43,0.009362805634737015,0.5675207376480103,0.38967353105545044,1140,264,0.8728101698084739,14.916045356864528,10.510542188671465
44,0.0008170257788151503,0.8725345134735107,0.10718242079019547,1286,742,0.8983230232526651,17.905844481225937,75.65639504690803
45,0.5573934316635132,0.23033374547958374,0.21020865440368652,1113,1584,0.8815376901457169,22.07796480170513,314.3624867809736
46,0.010923173278570175,0.22376973927021027,0.1293237805366516,1370,1150,0.940906750953576,18.498745318906188,143.39154725257526
47,2.4485825633746572e-05,0.9629545211791992,0.03247006610035896,1463,428,0.8706134618591934,14.901412855058133,20.037060599418286
48,0.014988962560892105,0.045437492430210114,0.9389814734458923,1284,969,0.9260119900612681,15.035230695064492,82.80876595060087
49,0.020720303058624268,0.6037726402282715,0.3394703269004822,1465,1892,0.8825948348122473,18.341396837566336,219.20890371745435
50,3.276316783740185e-05,0.9800409078598022,0.016759425401687622,1288,428,0.8365645120036589,16.80515360513782,26.69938240401
51,0.1172109842300415,0.04564213380217552,0.07940448075532913,1212,692,0.943818070665359,17.993871642644955,80.77380804556778
52,0.9977962970733643,0.00014498022210318595,0.0020572964567691088,1365,883,1.0921929576290654,17.828777241397088,101.00041588089874
53,0.004807441029697657,0.3246646523475647,0.11770591139793396,1367,1125,0.929711801979625,18.184197361090874,133.25168639673484
54,0.007104272488504648,0.5930051207542419,0.37846845388412476,1071,912,0.9453536010440249,14.977967103894313,88.47166016429638
55,0.0004684422165155411,0.9622739553451538,0.037025392055511475,1269,799,0.931555799933519,18.977117921639618,96.92197064174802
56,0.006011517718434334,0.1836620420217514,0.8066755533218384,1360,961,0.8897103333588604,18.947962844490313,119.99406255049183
57,0.8758070468902588,0.006438606418669224,0.11756685376167297,1355,1068,84.27964283679437,177.91028140467827,24079.83125186379
58,0.0014169077621772885,0.42400041222572327,0.5740575790405273,1250,845,0.8518376027128381,15.665686838081806,75.00516878799883
59,0.002439312171190977,0.8806755542755127,0.10864058881998062,1057,1060,0.8269756217369404,18.950286703409187,168.21153257017752
60,0.9507279992103577,0.01801423914730549,0.014383979141712189,1037,983,0.921872105098721,17.629915346940397,133.63700887387034
61,0.0013310093199834228,0.9520413875579834,0.0436701700091362,1234,1242,0.8958722849685482,19.044286454737644,175.28621994102934
62,0.6185619235038757,0.1381591558456421,0.07503621280193329,1451,913,0.9071926041610354,17.53172341590641,86.32824566080745
63,0.6341534852981567,0.13678963482379913,0.20382267236709595,1408,885,0.9819855070923229,17.331874986081413,81.7272945276127
64,0.0032776796724647284,0.6150149703025818,0.37718018889427185,1404,1378,0.931272700627214,17.727824212135427,155.51135693908515
65,0.05750070512294769,0.3405202031135559,0.30203431844711304,1482,1097,0.919816075712002,17.246204788034227,111.4090262262088
66,0.004850147292017937,0.18417125940322876,0.05244522541761398,1403,853,0.8823104071168807,16.999656125020774,78.7645605307678
67,0.013824733905494213,0.4998801052570343,0.47932741045951843,1134,1205,0.9258508964663513,15.690818364894135,126.77266692545659
68,0.0009411206701770425,0.03772081434726715,0.9612792134284973,1300,741,0.9669742780930377,14.113513809896068,49.498459985651486
69,0.09198704361915588,0.11378832161426544,0.7911000847816467,1471,517,0.9878226873098553,19.346165544198048,38.49360319578383
70,0.0014911596663296223,0.6597664952278137,0.14298029243946075,1335,742,0.8174181027974198,17.06015517634639,68.55610190475633
71,0.023106126114726067,0.515186607837677,0.43809109926223755,1373,1170,0.8733807026383236,18.38416485554444,146.0113370570826
72,0.025811802595853806,0.12467434257268906,0.8481437563896179,1493,859,0.9284115058706526,15.203122726244692,61.687816681878296
73,0.008466348052024841,0.09325899928808212,0.8981150388717651,1229,668,0.8579582005585271,18.724902752419315,73.23158849456964
74,0.001702821464277804,0.11978130042552948,0.8773884177207947,1337,892,0.9013281348092693,16.626456092685437,86.71774781735114
