,event id,width,length,azwidth,p_spot,p_track,p_worm
0,1,0.7985141453870647,0.8627894374541974,0.6473448216742695,0.9999946355819702,1.8528185137256519e-06,3.4067174965457525e-06
1,2,0.9092344666491082,0.9824094060248733,0.8279251110491744,0.9999970197677612,1.0264884622301906e-06,1.9558701751520853e-06
2,3,0.9215821869402528,1.0100174031470912,0.9730573307836392,0.9999979734420776,4.451374024938561e-07,1.4991071566328176e-06
3,4,0.4902591876380582,0.4996129222703875,0.2438896584989551,0.9999992847442628,4.075006927450886e-07,3.7564575450232956e-07
4,5,0.8785934019934606,0.930252987055032,0.7819176832184761,0.9999986886978148,3.2016754403230147e-07,9.55460905061045e-07
5,6,0.8474066445513021,0.8637792305453182,0.7297069978743441,0.9999940395355223,2.4094233594951216e-06,3.595464477257337e-06
6,7,0.8591997012669019,0.8959885027677501,0.7804255798757667,0.9999969005584716,1.004099203782971e-06,2.107151431118837e-06
7,10,0.8485774382196078,0.8842453019033149,0.781885881932289,0.9999549388885498,1.1528056347742675e-05,3.335565997986123e-05
8,11,0.8485443106693144,0.8560724839762432,0.7200278779594809,0.9999958276748656,1.4365001561600366e-06,2.7730332021747017e-06
9,12,0.7673851781889184,0.8578591970685976,0.7110260511755082,0.9999947547912598,2.100772462654277e-06,3.0690957828483083e-06
10,13,0.9087535044714028,0.9452229694701264,0.8934399932195288,0.9999964237213136,9.130120588451971e-07,2.5775107133085844e-06
11,14,0.8005411623559544,0.9185229743535179,0.8389915356875269,0.9999997615814208,1.1071038841237169e-07,1.751593430299181e-07
12,15,0.9072286214107111,0.9559586831412776,0.8712655783747885,0.999997854232788,4.903768058284187e-07,1.6746984101700946e-06
13,16,0.8915430524410859,0.9929005752039742,0.8478598138606643,0.9999983310699464,4.267610620445339e-07,1.1411702871555462e-06
14,17,0.7995782083119309,0.8472139061419516,0.6794639799078593,0.9999954700469972,1.6259986068689614e-06,2.8222455057402836e-06
15,18,0.5998613785720472,0.6787426378215435,0.383876562119096,0.9999985694885254,7.542706157437351e-07,7.710935392424291e-07
16,19,0.6024510670704813,0.6202984295235773,0.3816709425038057,0.9999961853027344,2.0754691831825767e-06,1.7679036545814597e-06
17,20,0.9116058284369116,1.0319514157230203,1.034198438883898,0.9999990463256836,2.096245452776202e-07,6.59406907743687e-07
18,21,0.9716968046154436,1.0398906392444558,0.9458739588081168,0.9999995231628418,1.3836671541866965e-07,3.958362526645942e-07
19,22,0.7873853172740679,0.8147510228584313,0.6596523328335557,0.999985933303833,4.253322913427836e-06,9.732703802001197e-06
20,23,0.4250717199267156,0.458711089928236,0.19289118317218484,0.9999990463256836,4.962870434610522e-07,4.3018195583499614e-07
21,24,0.9086946669250396,0.9911850339730022,0.8759522922718758,0.9999988079071044,3.975580682435975e-07,8.719306947568838e-07
22,25,0.9598791575063844,0.986161091824439,0.9623646885590176,0.9999994039535522,1.6567022953495322e-07,5.145675459061749e-07
23,26,0.849684517534845,0.9221150349614377,0.8330747025967025,0.9999992847442628,1.9047385535486683e-07,4.4050028691344783e-07
24,27,0.6178807179725385,0.6987371150266197,0.3955406778387472,0.9999982118606568,8.192259883799125e-07,9.499835300630364e-07
25,28,0.7519633420825138,3.1783976258760096,9.52149796181503,2.7116824639961123e-05,0.00018834623915608967,0.9997844099998474
26,29,0.8595045805917535,0.8748812458768883,0.7400771452000575,0.999995231628418,1.7134341305791168e-06,3.1145848424785068e-06
27,30,0.8692458524587156,0.9083882622355294,0.7821434970583705,0.9999966621398926,1.213139739775215e-06,2.120065573762986e-06
28,31,0.6784037634261659,0.7488951149526684,0.5289047874622731,0.9999954700469972,2.137457158823964e-06,2.432333985780133e-06
29,32,0.8836652583844737,0.931228422131617,0.7819832461241749,0.9999979734420776,6.358688438012905e-07,1.4576505691366037e-06
30,33,0.6448392992329973,0.7226389980544655,0.4772057985369946,0.999993085861206,3.365343900441076e-06,3.6019059734826438e-06
31,34,0.3715332455226173,0.4236754385340169,0.16784134535735235,0.9999988079071044,5.696081757378124e-07,5.559782607633679e-07
32,35,0.8057724056656335,0.8791268803847879,0.6505877016887869,0.9999951124191284,1.6087536778286447e-06,3.328424327264656e-06
33,37,0.7761530165678637,0.8245514043745574,0.6640432116494498,0.9999958276748656,1.5311209153878737e-06,2.566569492046256e-06
34,38,0.6504629758175279,0.7375546596948555,0.4933046125839322,0.9999970197677612,1.2764857046931866e-06,1.727343715174356e-06
