event id,p_spot,p_track,p_worm,x_coord,y_coord,width,length,azwidth
1,2.9452187391143525e-06,0.9987069368362427,0.001283464953303337,1210,83,0.932363869677454,20.898703868330326,179.77079522789717
2,-1.0,-1.0,-1.0,2009,4,0.4146817886182598,2.170712830366083,2.1987467188588443
3,9.47194203035906e-05,0.9921410083770752,0.007737486623227596,1302,621,0.9270513751936996,26.581059007529966,52.99985411791913
6,8.208799044950865e-07,0.9986199140548706,0.0013568367576226592,1442,831,0.870014132489899,25.80860168369441,24.3325723404932
7,8.168159183696844e-06,0.995932400226593,0.004058047663420439,356,700,0.8104551503768103,29.274729693714363,65.84927887884938
10,9.464829417993315e-06,0.9979598522186279,0.0020271185785531998,1619,722,0.8732872948974096,21.65476853047635,34.91894794405234
11,6.277502689044923e-05,0.8531299829483032,0.1468009650707245,2081,405,0.8165373194604189,22.460448137174552,113.54473528800946
12,0.0046246410347521305,0.9526033401489258,0.04276178404688835,1992,138,0.8835960619605764,24.463346576154127,215.1346082476755
13,0.01411327626556158,0.6175679564476013,0.36823570728302,1410,388,1.0501628461449266,18.670701239618317,68.92746531698664
14,9.89996124189929e-07,0.9974498152732849,0.0025093681178987026,348,1456,0.8964043570471636,24.807479336712348,189.23023912941292
16,0.00012044219329254702,0.8857920169830322,0.11407091468572617,1184,859,0.8540576683633447,23.505364641703,5.664576826421521
17,3.7821791920578107e-06,0.9946786165237427,0.0052757300436496735,1368,1661,0.9118317344925975,26.882904773488043,30.991465680101424
18,3.599603132897755e-06,0.9976367950439453,0.0023594519589096308,792,975,0.8871353980388758,23.20630752622534,12.177381654237484
19,-1.0,-1.0,-1.0,2108,1,0.386079029143235,1.049912206992557,0.6087531346264797
20,6.721584941260517e-05,0.9971522092819214,0.002747892402112484,1781,1071,0.9119142678127066,24.748646798909313,11.373332808295306
21,6.752761692041531e-07,0.9988248944282532,0.0011691033141687512,1121,546,0.856975803342973,23.571306283810266,49.969972325106596
22,2.254297669423977e-06,0.9977443218231201,0.0022523284424096346,907,1370,0.9019393733432048,21.8823443079732,38.26975534712753
24,5.503903466319571e-08,0.9997674822807312,0.0002323323133168742,658,1670,0.8502397909393616,24.806189048720046,132.69754545684526
28,0.00010886411473620683,0.12371156364679337,0.8761788606643677,1249,46,1.1955189184335104,20.83558493307936,186.91780658865923
30,2.023209526669234e-05,0.9942834973335266,0.005672495346516371,631,1364,0.8467442252593904,26.431705253272966,106.4837843387683
31,0.00023267869255505502,0.9462288022041321,0.05352634936571121,2367,386,0.9693848102788643,18.923793876183396,81.7832462235463
33,0.5323533415794373,0.014064434915781021,0.45357805490493774,1533,381,0.9988910978245086,28.47173099195822,164.48632232091455
34,0.00014467745495494455,0.9935708045959473,0.006263280287384987,1061,939,0.9064955153262929,26.66494488623778,1.0970908145070724
35,1.9765930403536913e-07,0.9978345036506653,0.002164992270991206,1092,375,0.8930422208982517,24.2803688848317,105.28495799472562
36,0.0001313209650106728,0.9519580006599426,0.047895509749650955,1285,550,1.3232391217650579,17.0904777216339,29.88498249010242
38,2.018796749325702e-06,0.9977914094924927,0.002206238219514489,653,574,0.9077204165237557,26.49455188063234,1.5344356715148877
39,9.227294867741875e-06,0.9862397313117981,0.013742031529545784,1733,239,0.8714419557917205,25.276969175985005,188.07040145916943
40,0.11461994051933289,0.6038820147514343,0.28126221895217896,1123,1260,0.8833877741232068,25.929543191807742,10.827036666643046
41,1.610189087841718e-06,0.9981202483177185,0.0017001384403556585,394,1695,0.8843593204275595,25.586281079652206,220.25646035936043
42,6.868516356917098e-05,0.9777887463569641,0.02213754877448082,1963,111,0.8808289410512209,23.651849168752264,211.99468910307033
43,0.0050567868165671825,0.709053099155426,0.28587400913238525,355,1897,0.8087420796945352,32.263722585706525,410.6494200099254
45,1.8103070033248514e-05,0.9935688972473145,0.00636095367372036,926,1001,0.9327967073974545,26.092700045563582,5.621360541142159
46,7.686682010898949e-07,0.9916873574256897,0.008310128003358841,1257,1059,0.8334572773482959,26.513480715630806,0.6948287846877247
47,0.0032416661269962788,0.3227546811103821,0.6739998459815979,1072,1881,1.1077586439924538,26.717617739273134,98.67264024371258
50,2.4286289772135206e-05,0.9745798110961914,0.02528945356607437,775,1354,0.9199264858030237,25.30037168738402,64.06891255754078
53,-1.0,-1.0,-1.0,108,1941,1.1483872649926152,1.9246282702803559,2.261522092836069
54,0.010617105290293694,0.7602004408836365,0.22706866264343262,1533,1782,0.9685691166667718,26.464723400320807,32.73366698984545
56,4.308276857045712e-06,0.9987422823905945,0.0012533384142443538,1781,179,0.852923973311372,20.54413680056164,136.76483770654468
57,0.0014732854906469584,0.37836793065071106,0.6196284294128418,1460,1235,0.8188720747436006,27.210201944024092,1.0417545868100697
58,0.05716584622859955,0.3884540796279907,0.5541665554046631,1134,1084,0.9858585381765429,24.406389126658386,4.81638587005815
59,0.005780443083494902,0.9110749959945679,0.08292526751756668,1556,723,0.8720442687652085,23.068857148937926,37.60754272892552
60,1.3831053365720436e-05,0.997524082660675,0.0024579279124736786,1345,881,0.9245255760323259,27.369909089111463,16.68606941402338
61,9.326936947218201e-07,0.9992393255233765,0.0007568708970211446,1369,574,0.8777834562314187,27.53105432724285,84.17386444685587
62,4.4765060920326505e-06,0.9978212118148804,0.0021740973461419344,292,1767,0.9231501122793693,26.428693425047204,292.7807441698659
63,6.4213522819045465e-06,0.9962469935417175,0.003711417783051729,646,1786,0.9342815677227111,26.743626820235775,170.4758192089927
65,0.00028034907882101834,0.9893235564231873,0.010380457155406475,1906,98,0.9075946787871503,22.27657584846231,194.91347103014294
66,1.7386808394803666e-05,0.9101995825767517,0.08974558860063553,956,1824,0.9157789849853053,28.100464001656697,127.79624173099533
70,0.00019302677537780255,0.8804183006286621,0.11933118104934692,1932,129,0.976865588067139,23.14208462858132,186.86672130662677
71,0.005226016044616699,0.9381534457206726,0.05660615861415863,687,1150,0.9479229716869048,27.50706121347264,59.66586715294452
73,0.0001065947362803854,0.9850170612335205,0.014389563351869583,1067,623,0.9048765718455798,26.367069856973778,38.50731559949453
74,3.939884507531133e-08,0.9995468258857727,0.0004531384038273245,1737,1105,0.8060506198040442,22.822286412091888,5.483166263945893
75,-1.0,-1.0,-1.0,320,1942,0.6835938485991794,1.047090213589429,0.47822217963885544
76,2.0792560917470837e-07,0.994484007358551,0.005498235113918781,1557,318,0.8799049615747375,22.22531545021796,132.51484376085386
78,4.133508991799317e-05,0.9949201941490173,0.005027809180319309,998,510,0.8880450684496545,23.751326650503678,36.469500209660374
80,5.8046278894607894e-08,0.9995883107185364,0.0004110392474103719,525,1352,0.8876285486850422,27.827347011694687,155.68446390488012
81,4.771603698827676e-07,0.9970138072967529,0.002979499753564596,1802,1735,0.9544902456045444,24.67318637953402,12.428453668790034
82,0.00016524302191101015,0.9861138463020325,0.013702649623155594,880,1820,0.9286652476381866,27.498736169458958,124.08371123935605
83,0.00015116699796635658,0.9754437804222107,0.024398550391197205,1356,798,0.9141619577879257,27.76197233963818,31.83166678682854
84,7.398076559184119e-05,0.6846215724945068,0.3153032958507538,946,1355,0.9038358843880255,20.052624578108695,29.396774052122417
88,2.571383390659321e-07,0.9992708563804626,0.000728811661247164,241,1855,0.9287888159192944,25.253739227586813,277.47065252883874
91,0.003935359884053469,0.7855823040008545,0.21045613288879395,879,1874,0.9017650532366669,24.396990099770488,119.42447623173479
93,1.0689769624150358e-05,0.9911085367202759,0.008877065032720566,1500,1119,0.9431724959940407,23.792303832927526,1.7967925973965528
95,-1.0,-1.0,-1.0,560,1922,1.0230248686910215,16.803536130680502,88.63945885817095
96,8.800546424936329e-08,0.9996355772018433,0.00036433551576919854,2016,585,0.8738518628512354,19.93217038293245,55.25693769183071
98,8.2023404956999e-07,0.99863201379776,0.0013669662876054645,2007,628,0.9224941248620366,21.08740194188832,58.972183360066154
100,2.495537501090439e-06,0.9986955523490906,0.0012884065508842468,1293,49,0.8586086193676532,21.488749201419814,202.74960350457076
