,event id,width,length,azwidth,p_spot,p_track,p_worm
0,1,0.6603412997843886,0.6819539933512504,0.4573733490896239,0.9999985694885254,6.317119982668373e-07,8.387432899326086e-07
1,2,0.7892744769466599,0.8409128537973871,0.707091092617919,0.9999438524246216,1.5587234884151258e-05,4.0429786167806014e-05
2,3,0.6987715885665623,0.717892588418785,0.4883356041121034,0.9999964237213136,1.4199683846527478e-06,2.0882278022327228e-06
3,4,0.6919032262303421,0.7161602444162619,0.5053699798858288,0.9999979734420776,1.0132580428034998e-06,1.095186689781258e-06
4,5,0.8847562955121809,0.9519520819950912,0.7844082067871383,0.9999749660491944,4.315561000112211e-06,2.076423879771028e-05
5,6,0.8269738512412287,0.8979975794462179,0.6933116663428437,0.9999934434890748,1.8138492805519488e-06,4.751281267090235e-06
6,7,0.7691555580500814,2.0695160639485217,3.836448406426879,0.6580267548561096,0.14854933321475985,0.1912698745727539
7,8,0.7887950867496288,0.8324937615939828,0.6260580316034379,0.9999966621398926,1.239542143594008e-06,2.1709479369746987e-06
8,9,0.7556258238872281,0.8088681358023961,0.5711658224193348,0.9999830722808838,5.0228118197992436e-06,1.1929979336855467e-05
9,10,0.6974604859133056,0.7686461544472195,0.510792814705621,0.9999207258224488,3.1754825613461435e-05,4.741012890008278e-05
10,11,0.7548021745181802,0.7916224221531722,0.6190680933847493,0.9999947547912598,2.076883902191184e-06,3.1891456728772027e-06
11,12,0.8087526455816244,0.9050160612742841,0.8038307462008739,0.9999758005142212,8.765667189436499e-06,1.5373194401036013e-05
12,13,0.6657046662028602,0.7802529679980131,0.5087292831234667,0.999996304512024,1.6223336842813296e-06,2.0475681594689377e-06
13,14,0.7250140474427027,0.7704911733924991,0.5905464036230311,0.9999840259552002,5.6216304074041545e-06,1.0357120117987506e-05
14,15,0.7181304876807992,0.7907762464408449,0.5730348401525174,0.9999932050704956,2.5785302568692714e-06,4.1386424527445325e-06
15,16,0.7186498943325993,0.7874124624528271,0.5814080998443095,0.999936819076538,1.891085230454337e-05,4.411370173329488e-05
16,17,0.6706003966505308,0.8000339633940424,0.5513000359694721,0.9999409914016724,1.7278342056670223e-05,4.160164826316759e-05
17,18,0.7148186121868441,0.7932916308256259,0.6156314003886081,0.9999977350234984,9.475545539316955e-07,1.3583219242718771e-06
18,19,0.6362161725140454,0.7564170512812703,0.4569663514674999,0.9999977350234984,7.232026746351039e-07,1.534791749691067e-06
19,20,0.7347160401578035,0.7835921113382149,0.5419880207319496,0.9999960660934448,1.5021812487248096e-06,2.3689085537625942e-06
20,21,0.7385661968645976,0.7769937472012776,0.5460679581405617,0.9999902248382568,3.1233200843416853e-06,6.674307314824546e-06
21,22,0.8021391517512408,0.8250066730653681,0.6603746140672665,0.99995219707489,1.233487819263246e-05,3.546207881299779e-05
22,23,0.7427752388680869,0.7880200089063043,0.5518618612025499,0.9999879598617554,5.731408691644901e-06,6.3253573898691676e-06
23,24,0.6958124327126973,0.7462979123638077,0.4963354097986916,0.9999982118606568,7.943755804262764e-07,9.239328164767356e-07
24,25,0.7550977655868966,0.7835237778403304,0.5857200230851277,0.9999986886978148,6.057603627596111e-07,7.575197287224e-07
25,26,0.7230057237465392,0.7610079238959471,0.5229587217349209,0.999996542930603,1.4873552345306964e-06,1.999949972741888e-06
26,27,0.6056216818515776,0.6413169085194336,0.3944035555443876,0.9999812841415404,6.9562743192364e-06,1.1844243090308735e-05
27,28,0.8117113388057291,0.8572532605594115,0.6908046518760435,0.999996304512024,9.625557595427379e-07,2.697675654417253e-06
28,29,0.7048039093139752,0.7554363202851823,0.5531720762731327,0.9999972581863404,1.1911986348422943e-06,1.4903522469467134e-06
29,30,0.6445862715995463,0.7844422172972083,0.5344112648420174,0.9999940395355223,2.338542572033475e-06,3.5205557651352133e-06
30,31,0.7152942799194175,0.739782849316928,0.5151498830770302,0.9999972581863404,1.2046506299157043e-06,1.593996898918704e-06
31,32,0.7748448785833333,0.8276458629563667,0.6321635288441766,0.9999673366546632,9.440086614631582e-06,2.315554775123019e-05
32,33,0.8676858856976881,0.8920727760138731,0.757679002533527,0.9999678134918212,8.300714398501443e-06,2.3703072656644508e-05
33,34,0.8165577537297252,0.8621588537213853,0.7111827173837609,0.9999951124191284,1.4725028449902309e-06,3.425738896112307e-06
34,35,0.8075770797027155,0.8222963855994627,0.6522459381960497,0.9999663829803468,9.444904208066873e-06,2.425278580631129e-05
35,36,0.7030756763971547,0.7359137920568719,0.5412818655417705,0.9999961853027344,1.2680229701800272e-06,2.461279564158758e-06
36,37,0.8191250041054542,0.8518837633939247,0.6961880007699771,0.999996304512024,1.1667158332784307e-06,2.476112058502622e-06
37,38,0.7652799481876967,0.8863149254048118,0.7712234819245628,0.9999731779098512,9.122009942075238e-06,1.7689904780127108e-05
38,39,0.8129163621353722,0.8607917189850958,0.7353777501625863,0.999996781349182,1.0258775091642749e-06,2.1928319711150843e-06
39,40,0.8236782883006729,0.8436108206783935,0.6792934150769722,0.9999538660049438,1.1036114301532507e-05,3.4890283131971955e-05
40,41,0.7930900200910755,0.8371504445889224,0.6978325091400445,0.9999951124191284,1.7457260810260777e-06,3.1498316275246907e-06
41,42,0.7610484660390131,0.8504375381255075,0.6513463831873454,0.9999895095825196,3.7213508221611846e-06,6.7906466938438825e-06
42,43,0.8105300757023319,3.1043247094045867,9.507443386456464,8.169302600435913e-05,0.0005899548996239903,0.9993282556533812
43,44,0.6866185755274979,0.8022935573008015,0.5130564754220982,0.9999957084655762,1.3326339285413271e-06,2.9715395157836615e-06
44,46,0.6787023167472898,0.7825463982746829,0.5157403544272806,0.9999902248382568,2.8878109787910944e-06,6.880035016365582e-06
45,47,0.6661073959660562,0.805330736293193,0.5303314616076645,0.999996781349182,1.0438827757752731e-06,2.090874886562233e-06
46,48,0.7926106754704901,0.8223401043220131,0.6740360031133104,0.999996781349182,1.0448288776387926e-06,2.0864367797912564e-06
47,49,0.7309321873245276,0.7807313323450982,0.5946633828852018,0.9999959468841552,1.581517835802515e-06,2.468380216669175e-06
48,50,0.713201412520957,0.7371076079893089,0.5091430444935005,0.9999948740005492,2.3392447019432447e-06,2.7915591545024654e-06
49,51,0.7392385719344917,0.8453524647865733,0.5468076746328393,0.9999816417694092,5.210597009863704e-06,1.3169886187824886e-05
50,52,0.7912705115283212,0.7986011711739014,0.6320909063611442,0.9999932050704956,2.3700947622273816e-06,4.402605100040091e-06
51,53,0.7406347947451393,0.7586102936995328,0.5754837220059396,0.999995231628418,2.053079924735357e-06,2.7090370622318005e-06
52,54,0.7417054737809563,0.8202391707486458,0.5558775468066458,0.9999960660934448,1.4295130768005038e-06,2.4641303753014654e-06
53,55,0.7536870917394267,0.8132157481909675,0.6198569848829693,0.9999938011169434,2.238836259493837e-06,3.991016455984209e-06
54,56,0.7672268363319593,0.8653485509018647,0.6443316065881338,0.9999874830245972,2.7083212899015044e-06,9.79402284428943e-06
55,57,0.6842330928694699,0.7025691062168419,0.4935598647384426,0.9999953508377076,1.6411989918196925e-06,2.935672682724544e-06
56,58,0.7285008190193281,0.7732350789303879,0.5899733340753025,0.9999969005584716,1.3236855238574208e-06,1.8454742303219967e-06
57,59,0.6469108078260413,0.7331357435411964,0.4826328570827421,0.9999923706054688,2.2964434265304594e-06,5.407216121966485e-06
58,60,0.6502276947899562,448.4726587039933,72406.35499867174,0.999996304512024,1.19553249078308e-06,2.5226431716873776e-06
59,61,0.8290613507162646,0.8586937782921373,0.6908949258722912,0.999980926513672,5.2163354666845424e-06,1.3800833585264627e-05
60,62,0.8243318050831648,0.9598639607310568,0.8016909264498134,0.9999910593032836,3.2048205866885837e-06,5.7302622735733175e-06
61,63,0.6934147518002809,0.7535800426526289,0.4928662876905114,0.9999959468841552,1.4345193903864129e-06,2.6246341349178692e-06
62,64,0.7530782110179367,0.8033280309385357,0.6335744873353248,0.9999815225601196,7.0981795943225725e-06,1.1345876373525245e-05
63,65,0.8093302455599826,0.850537745188327,0.6578702923638111,0.9999582767486572,8.849828191159759e-06,3.2734144042478874e-05
64,66,0.8431437292696895,0.8540067235026733,0.7116008013216386,0.9999698400497437,6.55270014249254e-06,2.364604370086454e-05
65,67,0.7961473999722083,0.8230166162534062,0.6342631799050257,0.9999945163726808,1.9653864455904113e-06,3.6282888231653487e-06
66,68,0.7605231603308698,0.8019369201209462,0.6387855202858312,0.9999961853027344,1.3762880826106993e-06,2.4326093353010947e-06
67,69,0.6407454537669828,0.8076825613352824,0.4488687891393033,0.9999951124191284,1.5628602341166697e-06,3.2802863643155437e-06
68,70,0.7094746612179431,0.7613487716128772,0.5033740595149602,0.9999911785125732,3.971978912886698e-06,4.840879682888044e-06
69,71,0.7086992114155141,0.7903846533118412,0.6238231796199764,0.9999961853027344,1.6440372974102504e-06,2.166950707760407e-06
70,72,0.9589989891096046,102.74059197372068,4617.8882334536,0.9999322891235352,2.462217344145756e-05,4.252918370184489e-05
71,73,0.7072300038674912,0.7907009864159456,0.6234466860203448,0.9999790191650392,5.4668607845087536e-06,1.5495857951464128e-05
72,74,0.6301952634375672,0.6864791153714795,0.4249482810844855,0.9999960660934448,2.0292516182962572e-06,1.957036147359758e-06
73,75,0.9103327223040976,1.0063173228458968,0.8493159517700646,0.9999781847000122,3.1534302706859307e-06,1.85836324817501e-05
74,76,0.7734693287332006,0.8369413173930147,0.5984437679150656,0.9999957084655762,1.4968366031098412e-06,2.7173909984412603e-06
75,77,0.7469288525618369,0.7672537909529838,0.5580582681654892,0.9999880790710448,3.950410700781504e-06,7.999479748832528e-06
76,78,0.7949902319427699,0.8328634497525941,0.6857472427690252,0.9999932050704956,2.4310388653248087e-06,4.389901732793078e-06
77,79,0.7953175116150367,0.8259092376742644,0.6736474196115407,0.9999958276748656,1.2320831501710927e-06,2.9943403205834333e-06
78,80,0.774461309346835,256.83711214292816,9428.723592148395,0.9999985694885254,6.05336424541747e-07,8.726817100068729e-07
