,event id,p_spot,p_track,p_worm,x_coord,y_coord,width,length,azwidth
0,1,0.0030835894867777824,0.7845116853713989,0.1983516663312912,1243,985,0.90372918783917,39.4314950060865,553.6063523021788
1,2,0.013259191066026688,0.3545357882976532,0.6206373572349548,1255,927,0.8643849120968671,35.75968483051688,435.1386622701142
2,3,0.6690516471862793,0.008835824206471443,0.32195574045181274,1263,1587,0.9624444757956838,40.60615734777453,1009.7887462693776
3,4,0.004591644275933504,0.9593635797500608,0.03526361659169197,1334,1162,0.9042892701843284,41.70164823918525,701.7894877098714
4,5,0.0064128907397389395,0.4791973829269409,0.4980713427066803,1230,1780,0.8903000618400805,38.96218729095116,1008.8498587218512
5,6,0.9743852019309998,0.012196081690490246,0.010095297358930113,1267,810,0.9199344321804541,35.927914175899986,331.42977848475675
6,8,0.011316186748445034,0.0324665941298008,0.9560197591781616,1271,1208,2.1220702380306693,47.021645129998205,927.5368226199993
7,9,0.00023764182697050284,0.9160538315773008,0.06286673247814177,1327,943,0.9081859362478654,40.356501855287476,505.21865330477766
8,10,0.0003389351186342537,0.19717037677764893,0.8020226955413818,1264,964,0.9724384844795799,40.15304657518358,541.499230670906
9,11,0.022898806259036064,0.0023932436015456915,0.9747026562690736,1350,1455,1.1050138235549012,34.506600996512496,662.9475266565529
10,12,0.008996108546853065,0.5518965721130371,0.40783819556236267,1295,1122,0.907257448183584,41.04006141532143,678.6437577343311
11,13,0.026550667360424995,0.4867027401924133,0.4035821259021759,1312,835,0.8016160646447809,33.866460805748986,327.5105606155372
12,14,0.003876246977597475,0.5553299188613892,0.43562382459640503,1291,717,0.8850537830390987,38.49124880333696,314.34466296926837
13,15,0.9811970591545104,0.00957033596932888,0.009112234227359295,1335,1057,0.8712572303081583,42.804196929205396,664.8756746240111
14,16,0.05273965373635292,0.17586961388587952,0.7632949948310852,1257,843,0.9003307919125139,33.85877212308006,350.1880201798786
15,17,0.10975543409585953,0.0063832341693341715,0.8838163614273071,1369,822,0.9317363388810896,31.366650097655626,273.03936523608536
16,18,0.014156141318380831,0.8932488560676575,0.08780314028263092,1306,916,0.8882972750255097,41.36058167137346,512.9772540322672
17,19,0.00642639584839344,0.7656768560409546,0.1777801215648651,1348,1297,0.9122320878486974,37.33919937465379,662.3216946581824
18,20,0.0034801079891622066,0.7385823726654053,0.2280894070863724,1235,914,0.9242863266817132,37.35422900206952,471.1440141672274
19,21,0.9938451051712036,0.0002912555355578661,0.00585585692897439,1402,1225,0.9953079761646312,38.56960623046083,680.7581440980018
20,22,0.019547106698155403,0.5372526049613953,0.3732433617115021,1357,961,0.9143466996963768,35.19702689392242,399.1395712758573
21,23,0.001543184625916183,0.6589314341545105,0.3389555811882019,1352,825,0.841669191880798,38.30173591199585,373.8039751414283
22,24,0.02290383167564869,0.1765579730272293,0.0986090525984764,1183,1302,0.9423264399631788,36.07486427848338,701.0719100522258
23,25,0.7679352760314941,0.008524984121322632,0.2234356701374054,1163,1288,1.2781566087524447,44.86268583990263,1085.5651265771435
24,26,0.2695938050746918,0.5035719871520996,0.16511213779449466,1311,1570,0.8685462333509468,38.13671659080164,828.191569644875
25,27,0.10194741189479828,0.04543432965874672,0.8521868586540222,1270,854,1.1712356483287851,36.13184037093891,415.0054606952068
26,28,0.0006248916615732014,0.7510402202606201,0.2465661615133285,1362,829,0.9479329393088378,40.828965424417284,416.79008209038324
27,29,0.005271152593195438,0.7716318368911743,0.16820500791072845,1340,1344,0.9085586874352416,38.03968710905618,715.640288631603
28,30,0.8802968859672546,0.04820598289370537,0.07136435806751251,1328,730,0.8491054577227276,37.78744325708289,293.8333057804544
29,31,0.0005342469667084515,0.4973239600658417,0.5018090009689331,1337,952,0.8372401725334615,42.90085767269093,591.4979920232456
30,32,0.0035852962173521523,0.25782856345176697,0.7346062660217285,1289,1206,0.8937692116848895,40.283288441919055,721.3247097078764
31,33,0.010527048259973526,0.5567232966423035,0.12265454977750775,1469,898,0.9169519544094128,36.44892620276718,351.85991737431283
32,34,0.04329076781868935,0.00991344265639782,0.9467303156852722,1420,673,0.9632947218414136,40.915325979087335,352.94841308106317
33,35,0.016234461218118668,0.709585964679718,0.2331631779670716,1254,655,1.2817640349847867,58.58418377516154,693.6519111326904
34,36,8.540914132026955e-05,0.9352402091026306,0.02504931390285492,1344,1075,0.8959197459586884,40.673281286032,611.9709365404449
35,37,0.004100190475583077,0.3924291729927063,0.6027919054031372,1230,1108,0.8767461773921046,37.42695390874554,604.9093304679564
36,38,0.001652306760661304,0.7418739795684814,0.20749786496162406,1297,1001,0.8925687696350982,37.1107646798836,509.9197077299473
37,39,0.00012790033360943198,0.9290140867233276,0.06248393282294274,1243,1321,0.8933343436680029,37.35848975939607,717.480780273524
38,40,5.511316339834593e-05,0.0022873047273606053,0.9976565837860109,1239,1197,5.658295047589946,208.77929458622424,11599.344317134555
39,41,0.00019285405869595704,0.9021294713020324,0.07543617486953735,1400,1481,0.8787936117310876,40.75091854015008,858.6760816895646
40,42,0.0001255505048902705,0.0004108892171643674,0.999463140964508,1359,824,1.000611964266187,37.812919250107825,413.4964277853794
41,43,0.0022705383598804483,0.019207397475838658,0.978166937828064,1333,806,0.9360812006446432,38.15094346991889,412.70570118307137
42,44,0.0028531879652291536,0.703493595123291,0.2873890101909637,1275,1342,0.8571110929771366,38.85174294715133,770.6271685831763
43,45,0.0002891987096518278,0.9216745495796204,0.056251656264066696,1266,1262,0.878100768529346,40.97144906004698,794.5115902925045
44,46,4.328681461629458e-05,0.003875340335071087,0.9960768818855286,1268,720,3.039109308331942,29.052323585965155,231.62710417817925
45,47,0.4107022285461426,0.5277523398399353,0.058039486408233636,1384,1114,0.9002611979622372,39.121999593082535,564.6847448251401
46,48,0.002175466623157263,0.7761530876159668,0.2192981243133545,1324,920,0.9096546490457952,39.93790085508386,481.8992442151151
47,49,0.00021748387371189887,0.939594030380249,0.0587724894285202,1334,1267,0.8892717245789374,36.22307348478947,618.0119404360023
48,50,0.0677454024553299,0.06625735014677048,0.8653018474578857,1314,1251,1.7889856965459512,37.294458382131204,715.0796402302823
49,51,3.1631832825951285e-05,0.953300416469574,0.04410349950194359,1339,1072,0.8765137555448103,37.60870841822911,526.6151425821299
50,52,0.0015786497388035061,0.9440070390701294,0.047968003898859024,1305,1161,0.9399013836290766,41.601100134734786,713.4636526671362
51,53,0.17465877532958984,0.40293604135513306,0.4220923185348511,1202,1154,0.8763215101615098,47.80623086531222,1014.5791480346396
52,54,0.03513375669717789,0.4411405026912689,0.1975293755531311,1331,850,0.9269983836513116,36.03833715174965,361.6793709114071
53,55,0.0012406152673065662,0.9471290111541748,0.050558220595121384,1309,1050,0.8754266627079244,41.25794363514546,620.1454295973564
54,56,1.725047877698671e-05,0.003048840910196305,0.9969260096549988,1198,1084,9.87001319647282,34.04007118063349,628.2259010864384
55,57,0.011426765471696857,0.25730305910110474,0.7255989909172058,1286,965,0.8822171406409123,34.53104671794855,433.02895265409785
56,58,0.04129073768854141,0.03479904681444168,0.9229421019554138,1279,939,0.9259133444039064,33.65591493364045,402.19227495587603
57,59,0.05936513468623161,0.029965581372380257,0.9105406403541564,1298,1243,0.8735833199712482,40.5710373382707,747.8990985781827
58,60,0.00015196687309071422,0.931605875492096,0.0644700899720192,1262,1402,0.9453369796686496,43.4444814008152,998.7303374984987
59,61,0.09225083887577057,0.10805396735668182,0.7840600013732909,1341,907,0.9328252725109798,36.392160905702,428.4372723819419
60,62,0.0019238486420363188,0.9129152297973632,0.08034855127334595,1398,1854,0.9214705938203096,41.63474640205114,1081.6577272153247
61,63,0.9835821390151978,0.0005855181370861827,0.015759563073515892,1341,1054,0.9356169081988204,40.477690456441664,668.6287677694353
62,64,0.0158817358314991,0.8812381029129028,0.1012156531214714,1252,622,0.9154820869274464,38.53562281005894,241.6444820721016
63,65,0.00028404479962773616,0.8849928379058838,0.07194782793521881,1299,1127,14.465330794994813,73.16532167985427,732.490806346626
64,66,0.12055319547653195,0.2563537061214447,0.6222018003463745,1311,989,1.0050857594845557,110.42739229654562,3306.955164493128
65,67,0.030506785959005363,0.06971592456102371,0.8990249037742615,1377,561,9.941251621964854,241.64203027803111,24930.316420134848
66,68,0.012758099474012852,0.8001346588134766,0.17388778924942014,1354,934,0.9388773562535292,38.868647043194095,447.8359269900158
67,69,0.7701999545097351,0.04213717579841614,0.18720518052577967,1331,889,0.8634573354268913,44.86634126928949,569.9108250735945
68,70,0.007613117340952158,0.1657440960407257,0.8246424794197083,1227,1665,0.903163861860832,41.1129204956646,1059.3422043700134
69,71,0.04633905366063118,0.6601663827896118,0.2775110006332397,1304,1107,0.8879793946752519,38.03229884770382,568.0304569682081
70,72,0.011300412006676195,0.5475969910621643,0.29977065324783325,1320,1108,0.8780920122186696,39.492892929562615,611.570468705069
71,73,0.011235171929001808,0.03086474351584912,0.9578185081481934,1222,562,1.205906990688588,34.45047885819972,205.95371274597943
72,74,0.002331273397430777,0.12374812364578247,0.8729321360588074,1326,1371,0.8625649077652281,36.428209151357,686.0030274600233
73,75,0.023150241002440453,0.5990445017814636,0.319458544254303,1278,1542,0.9257342120326892,40.290399819632796,928.556277658461
