event_id,p_noise,p_spot,p_track,p_worm,x_coord,y_coord
510436393,./irradiation_images/Worm/510436393.jpg,4.834683409171703e-07,5.396157121140277e-06,0.002245024312287569,0.9977491497993469,1595,1853
510427849,./irradiation_images/Track/510427849.jpg,0.0005891129840165377,8.216189598897472e-05,0.8653589487075806,0.1339697390794754,1519,216
510427937,./irradiation_images/Worm/510427937.jpg,6.623342778766528e-05,0.08147834241390228,0.011938714422285557,0.9065166711807251,531,1834
510461979,./irradiation_images/Track/510461979.jpg,2.2298574549495243e-05,0.00023749629326630384,0.952255129814148,0.047485072165727615,236,1187
510461977,./irradiation_images/Track/510461977.jpg,1.16015517193091e-08,4.183527266832243e-07,0.9991556406021118,0.0008439855882897973,2313,162
510436314,./irradiation_images/Worm/510436314.jpg,7.367299076577183e-06,3.7389694625744596e-05,0.02307632751762867,0.9768789410591125,2724,1286
510443092,./irradiation_images/Track/510443092.jpg,1.4816438351772376e-06,4.0716656712902477e-07,0.9911125302314758,0.008885499089956284,2474,108
510466616,./irradiation_images/Track/510466616.jpg,0.00018643586372490972,1.3326567568583414e-05,0.9808443784713745,0.018955903127789497,1808,2244
510466614,./irradiation_images/Worm/510466614.jpg,6.230740723367489e-07,1.952556885953527e-05,0.005104558542370796,0.9948752522468567,631,285
510446631,./irradiation_images/Worm/510446631.jpg,2.1565385395660996e-05,4.941038059769198e-05,0.0038372280541807413,0.9960917830467224,1603,1372
510436954,./irradiation_images/Spot/510436954.jpg,0.001644219970330596,0.8033791780471802,0.05866098031401634,0.13631561398506165,2748,2060
510467067,./irradiation_images/Track/510467067.jpg,4.556011117529124e-05,2.5605842893128283e-05,0.9814938306808472,0.01843501441180706,1148,128
510438093,./irradiation_images/Worm/510438093.jpg,1.5909344597275776e-07,4.96489301440306e-05,0.0008107354515232146,0.9991394281387329,538,1921
510463617,./irradiation_images/Track/510463617.jpg,9.862618753686547e-05,0.0003092245024163276,0.938407301902771,0.06118481978774071,3094,392
510465175,./irradiation_images/Track/510465175.jpg,4.58465308383893e-07,3.8431405613437164e-08,0.998745322227478,0.0012541379546746612,314,2168
510466384,./irradiation_images/Worm/510466384.jpg,9.119278843172651e-07,2.0657968491377687e-07,0.038527075201272964,0.9614717960357666,386,1473
510434883,./irradiation_images/Worm/510434883.jpg,9.763285925146192e-05,0.0017826438415795565,0.04333564266562462,0.954784095287323,2787,2174
510454345,./irradiation_images/Track/510454345.jpg,6.940598723303992e-06,3.829007368949533e-07,0.9911953210830688,0.008797346614301205,2473,356
510468371,./irradiation_images/Track/510468371.jpg,0.0002503120631445199,3.301657488918863e-05,0.9615225195884705,0.038194164633750916,940,1693
510463129,./irradiation_images/Worm/510463129.jpg,1.1048156833837197e-09,4.361021410659305e-07,5.961494935036171e-06,0.9999935626983643,1057,1559
510453806,./irradiation_images/Spot/510453806.jpg,2.257457509813321e-07,0.9999879598617554,5.748921012127539e-06,6.024547019478632e-06,2925,2345
510461396,./irradiation_images/Worm/510461396.jpg,5.549716206587618e-06,0.000159949398948811,0.004748196806758642,0.9950863718986511,2559,2102
510428199,./irradiation_images/Spot/510428199.jpg,1.7914912575633934e-07,0.9999983310699463,5.036873176322842e-07,9.077351137420919e-07,3155,1147
510439602,./irradiation_images/Track/510439602.jpg,6.04467059019953e-05,0.00014446784916799515,0.81008380651474,0.1897113025188446,282,1390
510428017,./irradiation_images/Track/510428017.jpg,0.00022206376888789237,4.295613689464517e-05,0.9428930282592773,0.05684187263250351,1549,2268
510461412,./irradiation_images/Track/510461412.jpg,1.3384968042373657e-05,3.779827693506377e-06,0.9919739365577698,0.008008919656276703,1777,676
510465378,./irradiation_images/Worm/510465378.jpg,4.118345896131359e-05,0.0012043090537190437,0.005017337389290333,0.9937371015548706,2438,2122
510464008,./irradiation_images/Worm/510464008.jpg,4.888150670012692e-06,2.68958933702379e-06,0.05542261153459549,0.9445698857307434,744,1480
510177985,./irradiation_images/Worm/510177985.jpg,1.051374329108512e-05,5.886086569262261e-07,0.19438357651233673,0.8056053519248962,1370,2064
510428205,./irradiation_images/Track/510428205.jpg,0.00028049779939465225,0.0012390846386551857,0.8695544004440308,0.12892594933509827,1408,1565
510436921,./irradiation_images/Track/510436921.jpg,0.0001106498675653711,7.424070645356551e-05,0.9826577305793762,0.01715732179582119,2284,954
510440217,./irradiation_images/Track/510440217.jpg,2.628903075674316e-06,9.367569873575121e-06,0.9636348485946655,0.036353178322315216,2472,1741
510434697,./irradiation_images/Spot/510434697.jpg,0.0001088503995561041,0.9893887639045715,0.002780672861263156,0.007721664849668741,543,2254
510467717,./irradiation_images/Track/510467717.jpg,0.0005020247772336006,0.0003256500931456685,0.9342871904373169,0.06488512456417084,2082,1386
510428091,./irradiation_images/Track/510428091.jpg,3.957907665608218e-06,5.137996481607843e-07,0.9909824728965759,0.009012996219098568,1658,276
510177905,./irradiation_images/Track/510177905.jpg,0.0001989886222872883,0.00017244087939616293,0.8458307981491089,0.15379780530929565,405,284
510468367,./irradiation_images/Track/510468367.jpg,5.940873052168172e-06,1.2601908565557096e-05,0.9906499981880188,0.00933157093822956,2320,301
510462911,./irradiation_images/Worm/510462911.jpg,6.043735538696637e-06,0.002430461812764406,0.0004957746714353561,0.9970677495002747,754,537
510464996,./irradiation_images/Track/510464996.jpg,4.921771505905781e-06,2.118001793860458e-05,0.9875909090042114,0.012382946908473969,208,947
510437996,./irradiation_images/Track/510437996.jpg,0.0005267111118882895,0.012791967019438744,0.8416872620582581,0.1449940800666809,2951,2159
510438471,./irradiation_images/Track/510438471.jpg,0.006667647510766983,0.00017263820336665958,0.9642812013626099,0.028878556564450264,1522,304
