,Unnamed: 0,Unnamed: 0.1,azwidth,event id,length,p_spot,p_track,p_worm,width,x_coord,y_coord
0,0,0.0,0.5217400657273079,1,0.7326335319362065,0.9999990463256836,4.251365055552015e-07,4.5371015744422033e-07,0.7206109477571,,
1,1,1.0,3.9851128518558494,2,2.284509890685144,0.9240427613258362,0.02442011795938015,0.0507691353559494,1.0023248469494903,,
2,2,2.0,0.6091365195266151,3,0.809117993231033,0.9999984502792358,5.929197186560485e-07,9.67806386142911e-07,0.7225639046732819,,
3,3,3.0,0.3839400537316741,4,0.6219428658621073,1.0,2.391108999688641e-08,2.3903428569838067e-08,0.6171917267028947,,
4,4,4.0,0.4800902633736165,5,0.7008117845828278,0.9999997615814208,9.975521209071304e-08,1.4215753196822336e-07,0.6655094763856183,,
5,5,5.0,0.5550751106622261,6,0.7540963377223401,0.999998927116394,4.6168111111910543e-07,6.492914508271497e-07,0.6365354220828024,,
6,6,6.0,0.5455046297567703,7,0.7574019396362695,0.9999997615814208,6.959813703133477e-08,1.2464158771763326e-07,0.7369689941064441,,
7,7,7.0,0.500850240427247,8,0.7129735825394108,0.9999998807907104,5.288297799665997e-08,7.05982117210624e-08,0.6772766811485702,,
8,8,8.0,0.4275810598318999,9,0.6679060270378948,0.9999996423721312,1.1510531550129599e-07,1.8591013883906266e-07,0.6388852486672273,,
9,9,9.0,0.3647241130274556,10,0.6074653443166395,1.0,4.386403418266127e-08,5.746440834286659e-08,0.5623355793050189,,
10,10,10.0,0.38462399743815023,11,0.6519923260843354,0.9999997615814208,9.10899444761526e-08,1.0876139810989117e-07,0.6055928194818122,,
11,11,11.0,279788.14440275053,12,536.2161059982051,0.999998927116394,3.5891147831534903e-07,6.682469688712447e-07,0.5738349104473505,,
12,12,12.0,0.3853584857959571,13,0.6325748897303927,0.9999994039535522,2.0719683391234867e-07,3.230763923056657e-07,0.5895384330659892,,
13,13,13.0,0.3154523112156925,14,0.6763610464854221,0.9999997615814208,6.010856168359169e-08,9.162279468455381e-08,0.5614001163289288,,
14,14,14.0,0.5405009077011957,15,0.8158059662637869,0.9999979734420776,7.02277077380131e-07,1.2763931636072816e-06,0.6680028911610321,,
15,15,15.0,3826.182188084668,16,62.34534322475043,0.9999830722808838,8.64467347128084e-06,8.234783308580518e-06,1.2880113190071858,,
16,16,16.0,0.5072228201782967,17,0.7126800756143851,0.9999995231628418,2.744595519743598e-07,2.800543654757348e-07,0.7016607440784471,,
